institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
Bellevue University,NE,NAIA,2024,222,53457,240.7972972972973,1597865,7197.59009009009,3.855632753216032
Central Community College,NE,Other,2024,133,9528,71.6390977443609,217542,1635.654135338346,inf
Chadron State College,NE,NCAA D2,2024,376,39682,105.5372340425532,1595329,4242.896276595745,0.8405588756961939
Concordia University-Nebraska,NE,NAIA,2024,759,64393,84.83926218708828,5935586,7820.271409749671,1.3584414846789539
Creighton University,NE,NCAA D1 (No Football),2024,296,902889,3050.300675675676,6338425,21413.597972972973,3.9004211500589343
Doane University,NE,NAIA,2024,502,38714,77.11952191235059,6013986,11980.051792828684,1.2348334384771262
Hastings College,NE,NAIA,2024,629,28426,45.192368839427665,6002778,9543.367249602543,0.7236176628576829
University of Nebraska at Kearney,NE,NCAA D2,2024,446,59070,132.44394618834082,2877744,6452.340807174888,1.0548593158690451
Mid-Plains Community College,NE,2-Year (JUCO),2024,208,15192,73.03846153846153,677976,3259.5,7.670316847679741
Midland University,NE,NAIA,2024,967,90562,93.65253360910032,15205324,15724.223371251293,1.4995590899805558
University of Nebraska at Omaha,NE,NCAA D1 (No Football),2024,348,382031,1097.7902298850574,4349449,12498.416666666666,1.4037449701653628
Nebraska Wesleyan University,NE,NCAA D3,2024,537,39484,73.5270018621974,0,0.0,0.6505834345275194
University of Nebraska-Lincoln,NE,NCAA D1 (FBS),2024,618,3172140,5132.9126213592235,12695377,20542.68122977346,1.4264689276340805
Northeast Community College,NE,2-Year (JUCO),2024,147,23080,157.00680272108843,652933,4441.721088435374,16.488462362774747
Peru State College,NE,NAIA,2024,429,58170,135.5944055944056,590690,1376.899766899767,2.1711299804049644
Southeast Community College Area,NE,2-Year (JUCO),2024,331,81423,245.99093655589124,763474,2306.5679758308156,25.833353897351472
Union Adventist University,NE,Other,2024,55,0,0.0,0,0.0,
Nebraska College of Technical Agriculture,NE,Other,2024,77,0,0.0,19000,246.75324675324674,
Wayne State College,NE,NCAA D2,2024,320,73931,231.034375,1489067,4653.334375,1.8400898626817448
Western Nebraska Community College,NE,2-Year (JUCO),2024,152,14731,96.91447368421052,419983,2763.0460526315787,10.177716022845912
York University,NE,NAIA,2024,383,0,0.0,3611110,9428.485639686683,0.0
College of Southern Nevada,NV,2-Year (JUCO),2024,178,344,1.9325842696629214,279209,1568.5898876404494,0.20295517417696957
University of Nevada-Las Vegas,NV,NCAA D1 (FBS),2024,418,1941096,4643.77033492823,11580573,27704.72009569378,1.2905331881706383
University of Nevada-Reno,NV,NCAA D1 (FBS),2024,403,988595,2453.089330024814,9722342,24124.918114143922,0.6817290618643883
Truckee Meadows Community College,NV,2-Year (JUCO),2024,52,3334,64.11538461538461,7500,144.23076923076923,6.733237590880531
Colby-Sawyer College,NH,NCAA D3,2024,276,22467,81.40217391304348,0,0.0,0.7202647264417041
Dartmouth College,NH,NCAA D1 (FCS),2024,882,1299256,1473.079365079365,0,0.0,2.0898503072972794
Franklin Pierce University,NH,NCAA D2,2024,583,53592,91.9245283018868,201000,344.7684391080617,0.732139503743125
New England College,NH,NCAA D3,2024,377,55366,146.85941644562334,0,0.0,1.2994451170872956
Southern New Hampshire University,NH,NCAA D2,2024,409,51059,124.83863080684597,2176982,5322.694376528118,0.9942862356250936
University of New Hampshire-Main Campus,NH,NCAA D1 (FCS),2024,493,326864,663.0101419878296,12159919,24665.150101419877,0.9406091632407239
Keene State College,NH,NCAA D3,2024,464,65609,141.39870689655172,0,0.0,1.2511275319360537
Plymouth State University,NH,NCAA D3,2024,605,31388,51.88099173553719,0,0.0,0.45905467291130087
NHTI-Concord's Community College,NH,Other,2024,107,0,0.0,0,0.0,
Great Bay Community College,NH,Other,2024,53,0,0.0,0,0.0,
Rivier University,NH,NCAA D3,2024,321,21821,67.97819314641744,0,0.0,0.6014863281527203
Saint Anselm College,NH,NCAA D2,2024,639,117608,184.05007824726135,4263757,6672.546165884194,1.4658800587945733
Atlantic Cape Community College,NJ,2-Year (JUCO),2024,90,0,0.0,0,0.0,0.0
Bergen Community College,NJ,2-Year (JUCO),2024,166,0,0.0,0,0.0,0.0
Berkeley College-Woodland Park,NJ,Other,2024,38,0,0.0,0,0.0,
Bloomfield College of Montclair State University,NJ,NCAA D2,2024,120,825,6.875,297354,2477.95,0.05475643096806263
Brookdale Community College,NJ,2-Year (JUCO),2024,174,0,0.0,0,0.0,0.0
Caldwell University,NJ,NCAA D2,2024,298,16652,55.87919463087248,2310882,7754.637583892618,0.44505385648818985
Camden County College,NJ,2-Year (JUCO),2024,129,0,0.0,0,0.0,0.0
Centenary University,NJ,NCAA D3,2024,198,5000,25.252525252525253,0,0.0,0.2234400178599885
County College of Morris,NJ,2-Year (JUCO),2024,99,0,0.0,35000,353.5353535353535,0.0
Rowan College of South Jersey-Cumberland Campus,NJ,2-Year (JUCO),2024,109,0,0.0,0,0.0,0.0
Drew University,NJ,NCAA D3,2024,451,40642,90.11529933481152,0,0.0,0.7973604180760084
Essex County College,NJ,2-Year (JUCO),2024,97,0,0.0,179101,1846.4020618556701,0.0
Fairleigh Dickinson University-Metropolitan Campus,NJ,NCAA D1 (No Football),2024,365,191863,525.6520547945205,5519780,15122.684931506848,0.6721515712998782
Felician University,NJ,NCAA D2,2024,416,38305,92.07932692307692,3716950,8934.975961538461,0.733372408472601
Fairleigh Dickinson University-Florham Campus,NJ,NCAA D3,2024,494,63024,127.57894736842105,0,0.0,1.128847194230918
Georgian Court University,NJ,NCAA D2,2024,354,21669,61.21186440677966,2449568,6919.683615819209,0.4875262876823623
Rowan University,NJ,NCAA D3,2024,495,46548,94.03636363636363,0,0.0,0.8320548761077395
Rowan College of South Jersey-Gloucester Campus,NJ,2-Year (JUCO),2024,193,0,0.0,0,0.0,0.0
New Jersey City University,NJ,NCAA D3,2024,262,0,0.0,0,0.0,0.0
Kean University,NJ,NCAA D3,2024,499,55957,112.13827655310621,0,0.0,0.9922246692262495
Mercer County Community College,NJ,2-Year (JUCO),2024,155,0,0.0,182000,1174.1935483870968,0.0
Middlesex College,NJ,2-Year (JUCO),2024,128,0,0.0,42669,333.3515625,0.0
Monmouth University,NJ,NCAA D1 (FCS),2024,619,445819,720.2245557350566,16015739,25873.568659127624,1.0217789650762374
Montclair State University,NJ,NCAA D3,2024,542,371308,685.070110701107,0,0.0,6.061654279707826
New Jersey Institute of Technology,NJ,NCAA D1 (No Football),2024,333,206615,620.4654654654655,6144376,18451.57957957958,0.7933895316226781
Ocean County College,NJ,2-Year (JUCO),2024,155,0,0.0,0,0.0,0.0
Passaic County Community College,NJ,2-Year (JUCO),2024,36,0,0.0,0,0.0,0.0
Princeton University,NJ,NCAA D1 (FCS),2024,1020,1918867,1881.242156862745,0,0.0,2.6689088129398826
Ramapo College of New Jersey,NJ,NCAA D3,2024,307,13937,45.39739413680782,0,0.0,0.40168634444632095
Rider University,NJ,NCAA D1 (No Football),2024,449,129498,288.4142538975501,5886470,13110.178173719376,0.36879546493602167
Rutgers University-Camden,NJ,NCAA D3,2024,245,5249,21.42448979591837,0,0.0,0.1895686999525892
Rutgers University-New Brunswick,NJ,NCAA D1 (FBS),2024,756,2958026,3912.732804232804,25297337,33462.08597883598,1.0873732282422282
Rutgers University-Newark,NJ,NCAA D3,2024,238,36481,153.28151260504202,0,0.0,1.356269266997435
Saint Peter's University,NJ,NCAA D1 (No Football),2024,268,61475,229.38432835820896,3358472,12531.611940298508,0.2933138667132336
Salem Community College,NJ,2-Year (JUCO),2024,93,464,4.989247311827957,69000,741.9354838709677,0.5239582941242895
Seton Hall University,NJ,NCAA D1 (No Football),2024,285,450320,1580.0701754385964,9261322,32495.866666666665,2.0204366015467876
Saint Elizabeth University,NJ,NCAA D3,2024,199,4994,25.09547738693467,0,0.0,0.22205042305544817
Raritan Valley Community College,NJ,2-Year (JUCO),2024,103,0,0.0,91216,885.5922330097087,0.0
Stevens Institute of Technology,NJ,NCAA D3,2024,548,150359,274.37773722627736,0,0.0,2.427755873646417
Stockton University,NJ,NCAA D3,2024,417,25752,61.75539568345324,0,0.0,0.5464256178926733
The College of New Jersey,NJ,NCAA D3,2024,532,43150,81.10902255639098,0,0.0,0.717670857364806
"UCNJ Union College of Union County, New Jersey",NJ,2-Year (JUCO),2024,199,0,0.0,100305,504.04522613065325,0.0
William Paterson University of New Jersey,NJ,NCAA D3,2024,227,20278,89.33039647577093,0,0.0,0.79041542120585
Navajo Technical University,NM,Other,2024,46,7000,152.17391304347825,32500,706.5217391304348,inf
Eastern New Mexico University-Main Campus,NM,NCAA D2,2024,268,57651,215.11567164179104,2708382,10105.902985074626,1.7133042071857685
New Mexico Highlands University,NM,NCAA D2,2024,283,62386,220.4452296819788,1882154,6650.720848056537,1.755751854737452
New Mexico Junior College,NM,2-Year (JUCO),2024,197,65041,330.15736040609136,1266322,6428.030456852792,34.672301559566186
New Mexico Military Institute,NM,2-Year (JUCO),2024,174,126366,726.2413793103449,1539311,8846.614942528735,76.26805617028126
University of New Mexico-Main Campus,NM,NCAA D1 (FBS),2024,428,1381534,3227.8831775700933,10789141,25208.27336448598,0.8970491793833048
New Mexico State University-Main Campus,NM,NCAA D1 (FBS),2024,441,697435,1581.485260770975,8763381,19871.61224489796,0.4395047705689741
Northern New Mexico College,NM,NAIA,2024,36,0,0.0,136000,3777.777777777778,0.0
University of the Southwest,NM,NAIA,2024,275,11359,41.305454545454545,1960501,7129.094545454545,0.6613806102454045
Mesalands Community College,NM,2-Year (JUCO),2024,22,6750,306.8181818181818,51264,2330.181818181818,32.22127930412645
Western New Mexico University,NM,NCAA D2,2024,250,84957,339.828,2477735,9910.94,2.70658449789306
Vaughn College of Aeronautics and Technology,NY,Other,2024,60,0,0.0,0,0.0,
Adelphi University,NY,NCAA D2,2024,414,44307,107.02173913043478,3997185,9655.036231884058,0.852382323022205
SUNY Adirondack,NY,2-Year (JUCO),2024,93,582,6.258064516129032,0,0.0,0.6572063085783114
Bryant & Stratton College-Albany,NY,Other,2024,81,2906,35.876543209876544,472047,5827.740740740741,inf
Albany College of Pharmacy and Health Sciences,NY,Other,2024,164,0,0.0,0,0.0,
Alfred University,NY,NCAA D3,2024,515,108907,211.46990291262136,0,0.0,1.8711332197923876
Bard College,NY,NCAA D3,2024,265,77950,294.1509433962264,0,0.0,2.6027136450210175
Berkeley College-New York,NY,Other,2024,23,0,0.0,0,0.0,
SUNY Broome Community College,NY,2-Year (JUCO),2024,108,99,0.9166666666666666,0,0.0,0.09626604434072344
Bryant & Stratton College-Syracuse North,NY,Other,2024,83,7274,87.63855421686748,1090519,13138.783132530121,inf
Bryant & Stratton College-Buffalo,NY,Other,2024,55,3095,56.27272727272727,501182,9112.4,inf
Bryant & Stratton College-Greece,NY,Other,2024,68,7048,103.6470588235294,694892,10219.0,inf
Canisius University,NY,NCAA D1 (No Football),2024,418,318973,763.0933014354067,4594412,10991.416267942584,0.9757678238482688
Cayuga County Community College,NY,2-Year (JUCO),2024,77,1901,24.68831168831169,0,0.0,2.592704844746852
Clarkson University,NY,NCAA D3,2024,397,134556,338.93198992443325,1965959,4952.037783375315,2.9989464073286576
Clinton Community College,NY,2-Year (JUCO),2024,36,3660,101.66666666666667,0,0.0,10.676779463243875
Colgate University,NY,NCAA D1 (FCS),2024,633,752927,1189.4581358609794,17537632,27705.579778830965,1.6874782918518378
Columbia University in the City of New York,NY,NCAA D1 (FCS),2024,799,1295842,1621.8297872340424,0,0.0,2.3008817851795347
Columbia-Greene Community College,NY,NCAA D3,2024,31,600,19.35483870967742,0,0.0,0.17125596207591376
Cornell University,NY,NCAA D1 (FCS),2024,1150,1494234,1299.3339130434783,0,0.0,1.8433585058802255
SUNY Corning Community College,NY,2-Year (JUCO),2024,103,0,0.0,0,0.0,0.0
CUNY Bernard M Baruch College,NY,NCAA D3,2024,213,777,3.647887323943662,0,0.0,0.03227732674900262
CUNY Borough of Manhattan Community College,NY,2-Year (JUCO),2024,146,0,0.0,0,0.0,0.0
CUNY Bronx Community College,NY,2-Year (JUCO),2024,65,0,0.0,0,0.0,0.0
CUNY Brooklyn College,NY,NCAA D3,2024,178,7201,40.45505617977528,0,0.0,0.35795542762329874
College of Staten Island CUNY,NY,NCAA D2,2024,203,26928,132.65024630541873,727740,3584.926108374384,1.0565024079591514
CUNY City College,NY,NCAA D3,2024,178,0,0.0,0,0.0,0.0
CUNY Hostos Community College,NY,2-Year (JUCO),2024,47,0,0.0,0,0.0,0.0
CUNY Hunter College,NY,NCAA D3,2024,242,1674,6.917355371900826,0,0.0,0.06120631471051976
CUNY John Jay College of Criminal Justice,NY,NCAA D3,2024,227,6232,27.45374449339207,0,0.0,0.24291690033311256
CUNY Kingsborough Community College,NY,2-Year (JUCO),2024,121,0,0.0,0,0.0,0.0
CUNY LaGuardia Community College,NY,2-Year (JUCO),2024,67,0,0.0,0,0.0,0.0
CUNY Lehman College,NY,NCAA D3,2024,231,0,0.0,0,0.0,0.0
CUNY Medgar Evers College,NY,NCAA D3,2024,186,400,2.150537634408602,0,0.0,0.019028440230657084
CUNY Queens College,NY,NCAA D2,2024,76,4362,57.39473684210526,1103886,14524.815789473685,0.4571245012108884
CUNY Queensborough Community College,NY,2-Year (JUCO),2024,115,0,0.0,0,0.0,0.0
CUNY York College,NY,NCAA D3,2024,124,1250,10.080645161290322,0,0.0,0.08919581358120508
D'Youville  University,NY,NCAA D2,2024,316,59604,188.62025316455697,2937700,9296.518987341773,1.5022795449576087
Daemen University,NY,NCAA D2,2024,221,26176,118.44343891402715,1654850,7488.009049773756,0.9433512707659448
Dominican University New York,NY,NCAA D2,2024,399,4318,10.822055137844611,1894449,4747.992481203008,0.0861930349218845
Dutchess Community College,NY,2-Year (JUCO),2024,99,1947,19.666666666666668,0,0.0,2.06534422403734
Elmira College,NY,NCAA D3,2024,348,39204,112.65517241379311,0,0.0,0.9967982799518574
Erie Community College,NY,2-Year (JUCO),2024,261,2133,8.172413793103448,1849,7.084291187739463,0.8582464893574216
Fashion Institute of Technology,NY,2-Year (JUCO),2024,60,0,0.0,0,0.0,0.0
Finger Lakes Community College,NY,2-Year (JUCO),2024,272,0,0.0,0,0.0,0.0
Five Towns College,NY,Other,2024,64,2500,39.0625,76730,1198.90625,inf
Fordham University,NY,NCAA D1 (FCS),2024,554,798712,1441.7184115523467,19595500,35370.938628158845,2.0453586798132135
Fulton-Montgomery Community College,NY,2-Year (JUCO),2024,72,2117,29.40277777777778,0,0.0,3.087806301050175
Genesee Community College,NY,2-Year (JUCO),2024,184,16242,88.27173913043478,30615,166.3858695652174,9.270077621632591
Hamilton College,NY,NCAA D3,2024,690,117586,170.4144927536232,0,0.0,1.5078657252570298
Hartwick College,NY,NCAA D3,2024,385,71213,184.96883116883117,0,0.0,1.6366457820202314
Herkimer County Community College,NY,2-Year (JUCO),2024,246,7952,32.32520325203252,0,0.0,3.3947121268178844
Hilbert College,NY,NCAA D3,2024,266,35091,131.92105263157896,0,0.0,1.167267117301896
Hobart William Smith Colleges,NY,NCAA D3,2024,734,186532,254.1307901907357,37730,51.403269754768395,2.2486063366400426
Hofstra University,NY,NCAA D1 (No Football),2024,375,268622,716.3253333333333,11166698,29777.861333333334,0.9159655973381883
Houghton University,NY,NCAA D3,2024,268,18155,67.74253731343283,0,0.0,0.599401192388897
Hudson Valley Community College,NY,2-Year (JUCO),2024,325,2856,8.787692307692307,0,0.0,0.9228615025581186
Iona University,NY,NCAA D1 (FCS),2024,489,415202,849.083844580777,6272227,12826.640081799591,1.2045909918931557
Ithaca College,NY,NCAA D3,2024,724,118813,164.10635359116023,0,0.0,1.4520498924629186
Jamestown Community College,NY,2-Year (JUCO),2024,145,772,5.324137931034483,15600,107.58620689655173,0.559127670703738
Jefferson Community College,NY,2-Year (JUCO),2024,135,3534,26.177777777777777,0,0.0,2.749124854142357
Keuka College,NY,NCAA D3,2024,262,15953,60.88931297709924,0,0.0,0.5387623234917851
Le Moyne College,NY,NCAA D1 (No Football),2024,393,154957,394.29262086513995,4703528,11968.264631043257,0.5041821909552889
Long Island University,NY,NCAA D1 (FCS),2024,857,282402,329.52392065344225,18214675,21253.99649941657,0.46749393356840474
Manhattan University,NY,NCAA D1 (No Football),2024,410,155626,379.57560975609755,6575748,16038.40975609756,0.48536354076348587
Manhattanville University,NY,NCAA D3,2024,364,41514,114.04945054945055,0,0.0,1.0091351662005679
Marist University,NY,NCAA D1 (FCS),2024,648,436371,673.4120370370371,7912742,12211.021604938273,0.9553662795783688
Mercy University,NY,NCAA D2,2024,245,10000,40.816326530612244,1511262,6168.416326530612,0.32508456233358146
Mohawk Valley Community College,NY,2-Year (JUCO),2024,229,9877,43.13100436681223,0,0.0,4.5295103769114355
Molloy University,NY,NCAA D2,2024,348,2938,8.442528735632184,2252280,6472.068965517241,0.067241126095786
Monroe University,NY,2-Year (JUCO),2024,494,34012,68.8502024291498,3948103,7992.111336032389,7.230476334449804
Monroe Community College,NY,2-Year (JUCO),2024,158,17838,112.89873417721519,125000,791.1392405063291,11.856343145798562
Mount Saint Mary College,NY,NCAA D3,2024,240,21528,89.7,0,0.0,0.7936857562408224
University of Mount Saint Vincent,NY,NCAA D3,2024,276,6340,22.971014492753625,0,0.0,0.20325269798550782
Nassau Community College,NY,2-Year (JUCO),2024,329,0,0.0,12876,39.13677811550152,0.0
Nazareth University,NY,NCAA D3,2024,481,70781,147.15384615384616,0,0.0,1.302050297306143
New York University,NY,NCAA D3,2024,496,190758,384.59274193548384,0,0.0,3.4029630014247036
Niagara County Community College,NY,2-Year (JUCO),2024,176,24000,136.36363636363637,30000,170.45454545454547,14.320568579611754
Niagara University,NY,NCAA D1 (No Football),2024,356,178049,500.1376404494382,6391211,17952.83988764045,0.6395262756572176
North Country Community College,NY,2-Year (JUCO),2024,68,4178,61.44117647058823,0,0.0,6.452398929233303
Onondaga Community College,NY,2-Year (JUCO),2024,302,0,0.0,0,0.0,0.0
Orange County Community College,NY,2-Year (JUCO),2024,101,0,0.0,77395,766.2871287128713,0.0
Pace University,NY,NCAA D2,2024,406,62625,154.2487684729064,3053457,7520.830049261083,1.2285253880429636
Paul Smiths College of Arts and Science,NY,Other,2024,263,24326,92.49429657794677,0,0.0,inf
Pratt Institute-Main,NY,NCAA D3,2024,148,31278,211.33783783783784,0,0.0,1.8699646783347224
Rensselaer Polytechnic Institute,NY,NCAA D3,2024,666,178956,268.7027027027027,2786202,4183.486486486487,2.3775418929603953
Roberts Wesleyan University,NY,NCAA D2,2024,408,14272,34.98039215686274,2358806,5781.387254901961,0.27860384412698386
Rochester Institute of Technology,NY,NCAA D3,2024,640,266492,416.39375,2314441,3616.3140625,3.6843454666967883
University of Rochester,NY,NCAA D3,2024,579,117491,202.92055267702935,0,0.0,1.7954866478068414
Rockland Community College,NY,2-Year (JUCO),2024,68,0,0.0,0,0.0,0.0
Russell Sage College,NY,NCAA D3,2024,321,44989,140.15264797507788,0,0.0,1.2401021226003728
St Bonaventure University,NY,NCAA D1 (No Football),2024,387,302651,782.0439276485788,6438168,16636.093023255813,1.0
St Lawrence University,NY,NCAA D3,2024,782,269863,345.09335038363173,2863403,3661.640664961637,3.053463509174045
St. Thomas Aquinas College,NY,NCAA D2,2024,354,39613,111.90112994350282,3842384,10854.19209039548,0.8912445813817627
Sarah Lawrence College,NY,NCAA D3,2024,183,36579,199.88524590163934,0,0.0,1.7686295714027354
Siena College,NY,NCAA D1 (No Football),2024,388,253616,653.6494845360825,7563711,19494.100515463917,0.8358219550421572
Skidmore College,NY,NCAA D3,2024,435,52203,120.00689655172414,0,0.0,1.0618479871100257
St. Joseph's University-New York,NY,NCAA D3,2024,423,5751,13.595744680851064,0,0.0,0.12029820399864453
St. John Fisher University,NY,NCAA D3,2024,777,188409,242.48262548262548,0,0.0,2.1455407578755596
St. John's University-New York,NY,NCAA D1 (No Football),2024,334,639905,1915.8832335329341,11151247,33386.967065868266,2.4498409434538315
Sullivan County Community College,NY,2-Year (JUCO),2024,32,585,18.28125,24500,765.625,1.9198512252042008
SUNY College of Technology at Alfred,NY,NCAA D3,2024,413,21965,53.18401937046005,0,0.0,0.4705841542248621
SUNY College of Technology at Canton,NY,NCAA D3,2024,350,34569,98.76857142857143,0,0.0,0.8739265140146198
SUNY College of Technology at Delhi,NY,NCAA D3,2024,255,8105,31.784313725490197,0,0.0,0.28123475000904385
SUNY College of Agriculture and Technology at Cobleskill,NY,NCAA D3,2024,325,32787,100.88307692307693,0,0.0,0.8926361337747309
Farmingdale State College,NY,NCAA D3,2024,337,0,0.0,0,0.0,0.0
SUNY Morrisville,NY,NCAA D3,2024,411,22200,54.01459854014598,0,0.0,0.47793330535540895
University at Albany,NY,NCAA D1 (FCS),2024,514,370107,720.0525291828794,8826353,17171.89299610895,1.021534911869429
Binghamton University,NY,NCAA D1 (No Football),2024,437,223403,511.21967963386726,5322689,12180.066361556064,0.6536968852516815
University at Buffalo,NY,NCAA D1 (FBS),2024,396,704266,1778.449494949495,10520692,26567.40404040404,0.49424237875301924
Stony Brook University,NY,NCAA D1 (FCS),2024,449,468154,1042.6592427616927,8774884,19543.1714922049,1.479215438452954
SUNY College of Environmental Science and Forestry,NY,Other,2024,147,0,0.0,0,0.0,
SUNY Polytechnic Institute,NY,NCAA D3,2024,211,7885,37.3696682464455,0,0.0,0.33065522188014207
SUNY Brockport,NY,NCAA D3,2024,826,99598,120.57869249394673,0,0.0,1.0669073660935082
SUNY Buffalo State University,NY,NCAA D3,2024,454,41845,92.16960352422907,0,0.0,0.8155373631610314
State University of New York at Cortland,NY,NCAA D3,2024,597,104293,174.69514237855947,0,0.0,1.545741875031495
SUNY at Fredonia,NY,NCAA D3,2024,295,32565,110.38983050847457,0,0.0,0.9767540257348366
SUNY College at Geneseo,NY,NCAA D3,2024,497,43661,87.84909456740442,0,0.0,0.7773085290613366
State University of New York at New Paltz,NY,NCAA D3,2024,316,10422,32.98101265822785,0,0.0,0.2918234110728395
SUNY Oneonta,NY,NCAA D3,2024,437,41784,95.61556064073227,0,0.0,0.8460279660594181
State University of New York at Oswego,NY,NCAA D3,2024,465,59357,127.6494623655914,0,0.0,1.1294711267711126
SUNY College at Potsdam,NY,NCAA D3,2024,310,20390,65.7741935483871,0,0.0,0.581984844454647
SUNY at Purchase College,NY,NCAA D3,2024,245,9969,40.689795918367345,0,0.0,0.3600324575780838
SUNY Old Westbury,NY,NCAA D3,2024,201,10000,49.75124378109453,0,0.0,0.44021018444057436
State University of New York at Plattsburgh,NY,NCAA D3,2024,376,6057,16.10904255319149,0,0.0,0.14253642832937988
SUNY Maritime College,NY,NCAA D3,2024,339,0,0.0,0,0.0,0.0
Syracuse University,NY,NCAA D1 (FBS),2024,611,2085676,3413.545008183306,23445111,38371.70376432079,0.9486457780308927
Tompkins Cortland Community College,NY,2-Year (JUCO),2024,123,11516,93.6260162601626,0,0.0,9.832370435723027
Touro University,NY,Other,2024,17,0,0.0,0,0.0,
Ulster County Community College,NY,2-Year (JUCO),2024,53,0,0.0,0,0.0,0.0
Union College,NY,NCAA D3,2024,556,154110,277.17625899280574,1669318,3002.3705035971225,2.4525178230848055
United States Merchant Marine Academy,NY,NCAA D3,2024,435,46921,107.86436781609196,0,0.0,0.9544081643428446
Utica University,NY,NCAA D3,2024,699,71283,101.97854077253218,0,0.0,0.9023290440733862
Vassar College,NY,NCAA D3,2024,453,89551,197.68432671081678,0,0.0,1.7491553438398262
Villa Maria College,NY,Other,2024,59,2027,34.355932203389834,0,0.0,inf
Wagner College,NY,NCAA D1 (FCS),2024,702,163497,232.9017094017094,12294052,17512.89458689459,0.3304164870553329
Webb Institute,NY,Other,2024,53,0,0.0,0,0.0,
SUNY Westchester Community College,NY,2-Year (JUCO),2024,128,265,2.0703125,27324,213.46875,0.21741904900816802
Word of Life Bible Institute,NY,Other,2024,82,9926,121.04878048780488,0,0.0,inf
Yeshiva University,NY,NCAA D3,2024,227,3766,16.590308370044053,0,0.0,0.14679477642081223
Appalachian State University,NC,NCAA D1 (FBS),2024,438,987399,2254.3356164383563,7263660,16583.698630136987,0.6264941460189108
Barton College,NC,NCAA D2,2024,709,39123,55.180535966149506,4724362,6663.4160789844855,0.43948933940526
Belmont Abbey College,NC,NCAA D2,2024,957,60731,63.45977011494253,3068008,3205.8599791013585,0.5054298940433417
Brevard College,NC,NCAA D3,2024,542,10226,18.867158671586715,186920,344.8708487084871,0.16694085951364426
Brunswick Community College,NC,2-Year (JUCO),2024,71,615,8.661971830985916,52256,736.0,0.9096586520288593
Caldwell Community College and Technical Institute,NC,2-Year (JUCO),2024,85,184,2.164705882352941,0,0.0,0.22733200631477793
Campbell University,NC,NCAA D1 (FCS),2024,477,417208,874.6498951781971,10707515,22447.620545073376,1.2408614196541998
Cape Fear Community College,NC,2-Year (JUCO),2024,89,0,0.0,54750,615.1685393258427,0.0
Catawba College,NC,NCAA D2,2024,652,18129,27.80521472392638,6607017,10133.461656441717,0.22145662844841213
Catawba Valley Community College,NC,2-Year (JUCO),2024,124,2320,18.70967741935484,59219,477.5725806451613,1.9648436029660858
Central Carolina Community College,NC,2-Year (JUCO),2024,25,2000,80.0,2000,80.0,8.401400233372229
Chowan University,NC,NCAA D2,2024,456,36775,80.6469298245614,2668502,5851.978070175439,0.6423182611963327
Cleveland Community College,NC,2-Year (JUCO),2024,121,915,7.56198347107438,59807,494.27272727272725,0.7941406212330154
Davidson-Davie Community College,NC,2-Year (JUCO),2024,23,966,42.0,18600,808.695652173913,4.41073512252042
Davidson College,NC,NCAA D1 (FCS),2024,490,527114,1075.7428571428572,5947317,12137.381632653061,1.5261509962511288
Duke University,NC,NCAA D1 (FBS),2024,730,3640958,4987.613698630137,30099294,41231.9095890411,1.3860894367327017
East Carolina University,NC,NCAA D1 (FBS),2024,452,1117605,2472.5774336283184,7122378,15757.473451327434,0.6871449292869574
Elizabeth City State University,NC,NCAA D2,2024,229,30765,134.34497816593887,780464,3408.1397379912664,1.0700002215053255
Elon University,NC,NCAA D1 (FCS),2024,438,489793,1118.2488584474886,13645498,31154.10502283105,1.5864540471214914
Fayetteville Technical Community College,NC,2-Year (JUCO),2024,99,1627,16.434343434343436,83087,839.2626262626262,1.7258937095576536
Fayetteville State University,NC,NCAA D2,2024,195,4412,22.625641025641027,1344653,6895.656410256411,0.18020354195326235
Gardner-Webb University,NC,NCAA D1 (FCS),2024,505,190107,376.44950495049505,9514459,18840.51287128713,0.5340670246645635
Gaston College,NC,2-Year (JUCO),2024,85,4546,53.48235294117647,200149,2354.6941176470586,5.616583156016199
Greensboro College,NC,NCAA D3,2024,362,22361,61.770718232044196,0,0.0,0.546561195245694
Guilford College,NC,NCAA D3,2024,407,15021,36.90663390663391,0,0.0,0.32655818999431335
Guilford Technical Community College,NC,2-Year (JUCO),2024,56,0,0.0,27682,494.32142857142856,0.0
High Point University,NC,NCAA D1 (No Football),2024,454,561823,1237.4955947136564,11376850,25059.140969162996,1.5823862969366862
Johnson C Smith University,NC,NCAA D2,2024,246,68191,277.1991869918699,2089564,8494.162601626016,2.2077728213706775
Johnston Community College,NC,2-Year (JUCO),2024,8,1000,125.0,1000,125.0,13.127187864644107
Lees-McRae College,NC,NCAA D2,2024,384,31647,82.4140625,3044319,7927.9140625,0.6563927162296508
Lenoir Community College,NC,2-Year (JUCO),2024,56,0,0.0,37886,676.5357142857143,0.0
Lenoir-Rhyne University,NC,NCAA D2,2024,705,88517,125.55602836879433,5852290,8301.120567375887,1.0
Livingstone College,NC,NCAA D2,2024,248,4754,19.169354838709676,1571380,6336.209677419355,0.1526757025349969
Louisburg College,NC,2-Year (JUCO),2024,271,5138,18.95940959409594,628584,2319.4981549815498,1.9910698523554664
